"id","sentiment"
301,2
302,3
303,3
304,3
305,3
306,2
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,4
315,3
316,3
317,5
318,3
319,3
320,5
321,2
322,3
323,3
324,3
325,3
326,3
327,3
328,4
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,2
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,4
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,2
361,3
362,3
363,3
364,3
365,4
366,3
367,3
368,4
369,4
370,3
371,2
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,4
383,3
384,4
385,3
386,3
387,3
388,3
389,3
390,4
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,4
453,3
454,4
455,3
456,4
457,3
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,3
476,4
477,4
478,3
479,4
480,3
481,3
482,4
483,4
484,3
485,6
486,4
487,4
488,4
489,5
490,4
491,3
492,3
493,4
494,4
495,5
496,4
497,4
498,5
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,3
508,5
509,4
510,3
511,4
512,5
513,4
514,4
515,4
516,4
517,4
518,5
519,5
520,4
521,4
522,4
523,4
524,4
525,4
526,5
527,4
528,3
529,3
530,4
531,4
532,4
533,5
534,4
535,4
536,4
537,4
538,4
539,5
540,4
541,4
542,4
543,4
544,4
545,5
546,3
547,3
548,4
549,3
550,5
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,3
559,6
560,4
561,4
562,4
563,4
564,4
565,5
566,3
567,5
568,4
569,4
570,4
571,3
572,2
573,5
574,4
575,4
576,4
577,4
578,3
579,7
580,5
581,3
582,4
583,4
584,4
585,4
586,4
587,4
588,3
589,4
590,4
591,4
592,4
593,4
594,5
595,4
596,4
597,4
598,4
599,4
600,4
601,5
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,3
612,4
613,5
614,4
615,4
616,4
617,4
618,4
619,3
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,3
633,4
634,4
635,4
636,4
637,4
638,4
639,5
640,5
641,4
642,4
643,4
644,3
645,4
646,4
647,6
648,4
649,4
650,4
651,4
652,5
653,4
654,4
655,4
656,4
657,6
658,3
659,4
660,3
661,4
662,4
663,4
664,4
665,4
666,4
667,5
668,3
669,4
670,4
671,4
672,4
673,4
674,4
675,4
676,3
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,3
690,5
691,4
692,4
693,4
694,4
695,5
696,4
697,4
698,4
699,3
700,5
701,4
702,4
703,5
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,4
714,4
715,4
716,3
717,4
718,4
719,4
720,4
721,4
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,3
731,4
732,5
733,4
734,4
735,4
736,4
737,4
738,5
739,4
740,4
741,4
742,4
743,4
744,3
745,4
746,4
747,4
748,4
749,5
750,4
751,5
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,3
764,4
765,4
766,3
767,4
768,4
769,4
770,4
771,4
772,5
773,4
774,4
775,5
776,4
777,3
778,4
779,4
780,4
781,4
782,4
783,3
784,4
785,4
786,4
787,3
788,5
789,3
790,4
791,3
792,4
793,3
794,4
795,5
796,4
797,4
798,3
799,4
800,6
801,4
802,5
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,3
816,4
817,3
818,3
819,4
820,4
821,4
822,4
823,4
824,4
825,5
826,5
827,4
828,4
829,4
830,4
831,5
832,5
833,4
834,4
835,4
836,5
837,4
838,3
839,4
840,3
841,4
842,4
843,4
844,4
845,5
846,4
847,3
848,4
849,4
850,5
851,4
852,4
853,4
854,4
855,4
856,4
857,4
858,4
859,4
860,5
861,4
862,4
863,4
864,4
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,4
873,4
874,5
875,5
876,4
877,4
878,4
879,5
880,4
881,3
882,3
883,3
884,3
885,4
886,3
887,3
888,3
889,3
890,3
891,3
892,3
893,4
894,3
895,3
896,3
897,3
898,4
899,4
900,4
901,4
902,3
903,4
904,4
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,3
913,4
914,5
915,4
916,4
917,4
918,4
919,4
920,4
921,2
922,4
923,3
924,4
925,4
926,4
927,4
928,4
929,4
930,3
931,4
932,4
933,3
934,4
935,3
936,5
937,3
938,3
939,4
940,4
941,4
942,4
943,3
944,4
945,4
946,4
947,5
948,3
949,4
950,4
951,3
952,4
953,3
954,3
955,4
956,4
957,4
958,4
959,4
960,4
961,4
962,4
963,4
964,3
965,3
966,3
967,3
968,3
969,4
970,4
971,4
972,5
973,3
974,5
975,4
976,4
977,4
978,4
979,5
